Nome,falsosPositivos,cenario,algoritmo
Pug,0,semiestruturado,jsFSTMergeV2
Q,0,semiestruturado,jsFSTMergeV2
Request,1,semiestruturado,jsFSTMergeV2
RequireJS,0,semiestruturado,jsFSTMergeV2
reveal.js,0,semiestruturado,jsFSTMergeV2
socket.io,0,semiestruturado,jsFSTMergeV2
StatsD,0,semiestruturado,jsFSTMergeV2
Stylus,0,semiestruturado,jsFSTMergeV2
three.js,0,semiestruturado,jsFSTMergeV2
Underscore.js,0,semiestruturado,jsFSTMergeV2
WebTorrent,0,semiestruturado,jsFSTMergeV2
whistle,0,semiestruturado,jsFSTMergeV2
Zepto.js,0,semiestruturado,jsFSTMergeV2
